id,name_en,name_zh,city,lon,lat,day,visit_order,priority,cat_id,cat_name,status_id,status_name,detour,half_day,notes
1,The Bund,外滩,Shanghai,121.4900,31.2397,1,2,1,1,City/Skyline,1,Confirmed,0,2,"Colonial waterfront. Best at dusk and night — Pudong skyline across the river."
2,Yu Garden + Old City Bazaar,豫园,Shanghai,121.4921,31.2270,1,3,1,3,Temple/Heritage,1,Confirmed,0,1,"Classical Ming garden inside busy bazaar. Go weekday morning."
3,French Concession,法租界,Shanghai,121.4619,31.2177,2,7,2,1,City/Skyline,1,Confirmed,0,2,"Tree-lined streets, art deco. Yongkang Lu for dinner."
4,Nanjing Road,南京路,Shanghai,121.4704,31.2359,1,4,3,1,City/Skyline,2,Optional,0,2,"Pedestrian shopping street. Touristy but sets the scale of Shanghai."
5,Shanghai Museum,上海博物馆,Shanghai,121.4740,31.2297,0,0,3,4,Museum,2,Optional,0,1,"World-class Chinese art/antiquities. Free entry. Only if you have spare time."
6,Humble Administrator's Garden,拙政园,Suzhou,120.6265,31.3237,2,5,1,3,Temple/Heritage,1,Confirmed,0,1,"Largest classical garden in China. UNESCO. Go 7:30am before crowds. ¥70."
7,Pingjiang Road Canal,平江路,Suzhou,120.6282,31.3178,2,6,2,3,Temple/Heritage,1,Confirmed,0,1,"900-year-old canal street. Walk after garden."
8,Tiger Hill Pagoda,虎丘,Suzhou,120.5864,31.3426,2,0,3,3,Temple/Heritage,2,Optional,0,1,"Leaning pagoda. Only if time allows after garden + canal."
9,Two Rivers Four Lakes Cruise,两江四湖,Guilin,110.2876,25.2745,3,10,1,5,Activity,1,Confirmed,0,2,"Night cruise past lit pagodas and karst peaks. ¥150. Depart ~8pm."
10,Elephant Trunk Hill,象鼻山,Guilin,110.2880,25.2816,3,9,2,2,Nature,1,Confirmed,0,2,"Iconic karst hill shaped like elephant drinking. ¥75."
11,Reed Flute Cave,芦笛岩,Guilin,110.1564,25.3082,3,0,3,2,Nature,2,Optional,0,1,"Impressive stalactite cave with coloured lighting. 5km from centre."
12,Longji Rice Terraces,龙脊梯田,Guilin,110.0752,25.7716,0,0,1,2,Nature,3,Missed/NextTrip,1,0,"Dragon's Backbone terraces climbing 800m. 2h from Guilin. Needs a dedicated day."
13,Li River Cruise,漓江游览,Yangshuo,110.4944,24.7779,4,12,1,5,Activity,1,Confirmed,0,0,"83km cruise through karst landscape. The centrepiece of southern China. ¥210–330."
14,Impression Liu Sanjie Show,印象刘三姐,Yangshuo,110.4847,24.7657,4,13,1,5,Activity,1,Confirmed,0,2,"Zhang Yimou outdoor show on Li River. Spectacular. ¥238. Book ahead."
15,Ten Mile Gallery Cycling,十里画廊,Yangshuo,110.4800,24.7600,5,15,1,5,Activity,1,Confirmed,0,0,"Cycle through rice fields between limestone peaks. Best way to see the karst."
16,Yulong River Bamboo Raft,遇龙河竹筏,Yangshuo,110.4033,24.8167,5,14,2,5,Activity,1,Confirmed,0,1,"Quieter than Li River. Morning mist. ¥150."
17,Moon Hill,月亮山,Yangshuo,110.4870,24.7040,5,0,2,2,Nature,2,Optional,0,1,"Natural moon-shaped arch in limestone hill. Hike 20 min up."
18,Dragon Bridge,遇龙桥,Yangshuo,110.4310,24.8520,5,0,3,3,Temple/Heritage,2,Optional,0,2,"Ancient stone bridge in karst countryside. Good for sunset photos."
19,Wulingyuan Pillar Forest,武陵源,Zhangjiajie,110.4349,29.3251,6,16,1,2,Nature,1,Confirmed,0,0,"3000 sandstone pillars. The Avatar filming location. Park pass ¥248 (4 days)."
20,Tianmen Mountain Temple,天门山寺,Zhangjiajie,110.5137,29.0500,7,17,1,3,Temple/Heritage,1,Confirmed,0,0,"Buddhist temple at summit, 1600 years old. The temple-on-rocks highlight of trip."
21,Heaven's Gate (Tianmen Arch),天门洞,Zhangjiajie,110.5137,29.0680,7,18,1,2,Nature,1,Confirmed,0,0,"Natural arch through cliff face. 999 steps. Cable car ¥258."
22,Cliff Glass Walkway,天门山玻璃栈道,Zhangjiajie,110.5100,29.0600,7,19,2,5,Activity,1,Confirmed,0,1,"Glass-floored walkway on Tianmen cliff edge. Vertigo-inducing."
23,Zhangjiajie Glass Bridge,张家界大峡谷玻璃桥,Zhangjiajie,110.2958,29.1938,0,0,3,5,Activity,2,Optional,1,0,"World's longest glass bridge (430m). 40km from main park. Only if you want the adrenaline."
24,Fenghuang Ancient Town,凤凰古城,Fenghuang,109.5993,27.9476,8,20,1,3,Temple/Heritage,1,Confirmed,0,0,"Preserved Miao/Tujia river town. Stilt houses over Tuojiang River. Entrance ¥148."
25,Hong Bridge,虹桥,Fenghuang,109.5990,27.9472,8,21,2,3,Temple/Heritage,1,Confirmed,0,2,"Covered wind-and-rain bridge. Centre of the old town."
26,City Wall Walk,古城墙,Fenghuang,109.5988,27.9480,8,0,2,3,Temple/Heritage,2,Optional,0,2,"Walk the restored Ming dynasty walls at dusk."
